nber,count,year
,1,1976
6,15872,1976
5,16716,1976
1,18432,1976
4,11135,1976
3,3399,1976
2,4644,1976
6,14760,1977
3,3613,1977
5,15549,1977
1,15955,1977
2,4639,1977
4,10690,1977
4,10387,1978
6,15575,1978
3,3321,1978
5,15511,1978
1,16557,1978
2,4723,1978
6,11498,1979
3,2793,1979
5,11251,1979
4,7782,1979
1,11913,1979
2,3602,1979
6,14848,1980
3,3970,1980
1,14652,1980
5,14105,1980
4,9517,1980
2,4715,1980
6,15533,1981
3,4155,1981
5,14691,1981
4,10203,1981
1,16561,1981
2,4628,1981
6,13139,1982
3,3758,1982
5,12681,1982
1,13369,1982
4,9981,1982
2,4946,1982
6,12769,1983
3,3497,1983
5,12769,1983
1,13469,1983
4,9645,1983
2,4710,1983
7,2,1983
6,15819,1984
3,4276,1984
5,15053,1984
4,11685,1984
1,14915,1984
2,5462,1984
7,2,1984
6,16487,1985
3,4583,1985
5,16384,1985
4,12552,1985
1,15306,1985
2,6352,1985
7,1,1985
3,5000,1986
6,16561,1986
1,13598,1986
5,16632,1986
4,12364,1986
2,6707,1986
7,1,1986
6,18499,1987
5,18668,1987
4,15990,1987
1,14977,1987
3,6040,1987
2,8766,1987
7,3,1987
6,16849,1988
2,8584,1988
5,17791,1988
1,14718,1988
4,14146,1988
3,5847,1988
7,1,1988
4,17166,1989
6,20881,1989
1,17797,1989
5,20461,1989
3,7974,1989
2,11283,1989
7,4,1989
6,19873,1990
5,19052,1990
1,17464,1990
4,16150,1990
3,7704,1990
2,10173,1990
7,5,1990
6,20426,1991
5,20668,1991
1,18561,1991
4,17596,1991
3,8456,1991
2,10851,1991
7,3,1991
6,19903,1992
5,20394,1992
1,19316,1992
4,17805,1992
3,8793,1992
7,2,1992
2,11260,1992
6,18988,1993
5,19812,1993
1,20028,1993
4,17433,1993
3,9394,1993
2,12729,1993
7,1,1993
6,20152,1994
1,19290,1994
5,19126,1994
4,18809,1994
3,9753,1994
2,14565,1994
6,19616,1995
5,17866,1995
1,18498,1995
4,19409,1995
3,10266,1995
2,15777,1995
6,20529,1996
5,19212,1996
1,18434,1996
4,20592,1996
3,11700,1996
2,19187,1996
6,20197,1997
5,18871,1997
1,18542,1997
4,20220,1997
3,14441,1997
2,19748,1997
7,1,1997
6,25715,1998
5,23554,1998
1,21989,1998
3,18526,1998
4,27090,1998
2,30698,1998
7,4,1998
6,27165,1999
1,23040,1999
5,24688,1999
4,28537,1999
3,18736,1999
2,31419,1999
7,7,1999
6,26920,2000
5,26182,2000
1,22331,2000
4,31760,2000
3,17977,2000
2,32423,2000
7,2,2000
6,26435,2001
5,27588,2001
1,23185,2001
4,35219,2001
3,19071,2001
2,34660,2001
6,25756,2002
5,26818,2002
1,22922,2002
4,37200,2002
3,18609,2002
2,36091,2002
,4,2002
6,25311,2003
1,21441,2003
5,27260,2003
4,38399,2003
3,18728,2003
2,37937,2003
,1,2003
6,23317,2004
5,25616,2004
1,19264,2004
4,39283,2004
3,14790,2004
2,42111,2004
,3,2004
6,19331,2005
1,15183,2005
5,22369,2005
4,34738,2005
3,12457,2005
2,39805,2005
,7,2005
7,1,2005
6,19978,2006
5,26073,2006
1,16889,2006
4,40784,2006
3,15234,2006
2,54859,2006
,4,2006
7,1,2006
6,17411,2007
5,22739,2007
1,15867,2007
4,37913,2007
3,14156,2007
2,49238,2007
,7,2007
6,16525,2008
5,21294,2008
1,15718,2008
4,38217,2008
3,12753,2008
2,53279,2008
7,1,2008
,1,2008
6,16825,2009
5,20707,2009
1,16142,2009
4,41172,2009
3,14339,2009
2,58265,2009
,12,2009
7,1,2009
6,23510,2010
1,21903,2010
5,26430,2010
4,51103,2010
3,21333,2010
2,75537,2010
,32,2010
6,23062,2011
1,22698,2011
5,26962,2011
4,50813,2011
3,22497,2011
2,78792,2011
,45,2011
7,2,2011
6,25532,2012
5,28866,2012
1,24653,2012
4,54353,2012
3,26654,2012
2,93491,2012
7,2,2012
,82,2012
6,28002,2013
1,26350,2013
5,30911,2013
4,59082,2013
3,30992,2013
2,103074,2013
,105,2013
7,2,2013
6,30283,2014
1,27414,2014
5,33293,2014
4,64951,2014
3,33298,2014
2,112227,2014
,176,2014
7,1,2014
6,12008,2015
5,13552,2015
1,10963,2015
4,25941,2015
3,12837,2015
2,42687,2015
,181393,2015
7,1,2015
,304126,2016
,320003,2017
